Material,Source,Price_Per_Unit,Bulk_Purchase_Price,Quality,Material_Type,Package_Size,Company_Contact,Delivery_Time,Return_Policy
Cement,Nairobi Hardware Ltd,720,700,Premium,Portland,50kg Bag,0712 345678,2 days,No returns
Steel Bars,Juja Suppliers,1500,1450,Standard,Reinforced Steel,Per Meter,0723 456789,1 day,7-day return
Sand,East Africa Builders,2500,2400,Premium,River Sand,7 Tons,0734 567890,Within a week,No returns
Ballast,Ruiru Depot,3000,2900,Premium,Machine Cut,10 Tons,0745 678901,3 days,Exchange within 3 days
Bricks,Thika Construction Market,12,10,Medium,Clay,Per 1000 pcs,0756 789012,Same day,7-day return
Paint,Westlands Paints,1800,1750,Medium,Oil-based,20L,0767 890123,2 days,7-day return
PVC Pipes,Kariobangi Distributors,200,180,Premium,Plastic,6m Length,0778 901234,1 day,Exchange within 3 days
Tiles,Industrial Area Wholesalers,1200,1100,Standard,Ceramic,Box of 10,0789 012345,Within a week,7-day return
Glass Panels,Mlolongo Glass Mart,3500,3300,High,Tempered,2x3m Panel,0790 123456,1 day,No returns
Timber,Ngong Timber Yards,950,900,High,Mahogany,12x2 Plank,0701 234567,3 days,No returns
